maktimestamp,altitude,velocity
1533207801.931,,8.77824
1533207802.226,906.7800000000001,
1533207802.498,,9.10336
1533207802.508,,8.77824
1533207802.681,914.4000000000001,
1533207802.998,,9.10336
1533207803.187,914.4000000000001,
1533207803.547,,9.10336
1533207803.643,922.0200000000001,
1533207803.999,,8.45312
1533207804.121,922.0200000000001,
1533207804.416,,8.45312
1533207804.653,929.6400000000001,
1533207804.764,922.0200000000001,
1533207804.900,,8.128
1533207805.221,937.26,
1533207805.397,,8.128
1533207805.754,937.26,
1533207805.825,937.26,
1533207805.892,,7.80288
1533207806.276,944.88,
1533207806.335,,7.80288
1533207806.577,937.26,
1533207806.820,944.88,
1533207806.924,,7.477760000000001
1533207807.358,,7.477760000000001
1533207807.358,952.5,
1533207807.518,944.88,
1533207807.828,952.5,
1533207807.911,,8.128
1533207808.353,,8.128
1533207808.388,960.12,
1533207808.841,960.12,
1533207808.951,,7.477760000000001
1533207809.309,967.74,
1533207809.358,,7.477760000000001
1533207809.749,,7.152640000000001
1533207809.827,967.74,
1533207809.843,967.74,
1533207809.890,,7.477760000000001
1533207810.244,,7.152640000000001
1533207810.261,967.74,
1533207810.678,,7.152640000000001
1533207810.700,975.36,
1533207810.801,,6.827520000000001
1533207811.125,967.74,
1533207811.174,,7.152640000000001
1533207811.210,975.36,
1533207811.228,,6.827520000000001
1533207811.729,982.98,
1533207811.849,,7.152640000000001
1533207811.898,975.36,
1533207812.004,,6.827520000000001
1533207812.204,982.98,
1533207812.278,,7.152640000000001
1533207812.606,990.6,
1533207812.782,,7.152640000000001
1533207813.088,990.6,
1533207813.264,,7.152640000000001
1533207813.592,990.6,
1533207813.720,,7.152640000000001
1533207814.130,998.22,
1533207814.156,990.6,
1533207814.239,,7.80288
1533207814.378,,7.152640000000001
1533207814.673,1005.84,
1533207814.763,,8.45312
1533207814.969,998.22,
1533207815.115,1005.84,
1533207815.175,,8.45312
1533207815.210,1005.84,
1533207815.668,1013.46,
1533207815.698,,8.45312
1533207816.025,1005.84,
1533207816.193,,8.45312
1533207816.229,1013.46,
1533207816.700,,8.45312
1533207816.740,1021.08,
1533207816.813,1013.46,
1533207817.158,,8.128
1533207817.210,1021.08,
1533207817.326,,8.45312
1533207817.479,1021.08,
1533207817.652,1021.08,
1533207817.661,,8.128
1533207817.786,1028.7,
1533207818.203,,8.128
1533207818.236,,7.80288
1533207818.289,1028.7,
1533207818.372,1028.7,
1533207818.714,,7.80288
1533207818.790,1036.3200000000002,
1533207819.137,1028.7,
1533207819.234,,7.477760000000001
1533207819.304,,7.80288
1533207819.325,1036.3200000000002,
1533207819.404,1036.3200000000002,
1533207819.694,1043.94,
1533207819.756,,7.477760000000001
1533207820.145,1043.94,
1533207820.197,1043.94,
1533207820.197,,7.477760000000001
1533207820.257,,7.80288
1533207820.607,1051.56,
1533207820.692,,7.80288
1533207820.885,1043.94,
1533207821.081,1051.56,
1533207821.140,,7.80288
1533207821.503,1059.18,
1533207821.553,1051.56,
1533207821.578,,7.80288
1533207821.904,1059.18,
1533207822.000,1059.18,
1533207822.021,,8.128
1533207822.244,,7.80288
1533207822.496,1066.8,
1533207822.601,,8.128
1533207822.958,1066.8,
1533207823.071,,8.128
1533207823.397,1066.8,
1533207823.510,1074.42,
1533207823.585,,8.128
1533207824.106,1074.42,
1533207824.145,,8.128
1533207824.493,1082.04,
1533207824.568,,8.128
1533207825.002,1082.04,
1533207825.019,,8.128
1533207825.403,1089.66,
1533207825.510,,8.128
1533207825.754,1082.04,
1533207825.917,,8.128
1533207825.917,1089.66,
1533207826.000,1089.66,
1533207826.043,,8.77824
1533207826.412,1097.28,
1533207826.578,,8.77824
1533207826.966,1097.28,
1533207826.981,,9.42848
1533207827.184,1097.28,
1533207827.376,,9.42848
1533207827.410,,8.77824
1533207827.413,,9.42848
1533207827.413,1097.28,
1533207827.419,1104.9,
1533207827.892,1112.52,
1533207827.950,1104.9,
1533207828.002,,9.7536
1533207828.439,,9.7536
1533207828.460,1112.52,
1533207828.612,1112.52,
1533207828.744,,9.7536
1533207828.882,,9.7536
1533207828.927,1120.14,
1533207829.357,,9.7536
1533207829.466,1127.76,
1533207829.555,,9.7536
1533207829.602,1120.14,
1533207829.763,,9.7536
1533207829.900,,9.7536
1533207830.043,1127.76,
1533207830.336,,9.7536
1533207830.462,1127.76,
1533207830.471,,9.7536
1533207830.618,1135.38,
1533207831.013,,9.42848
1533207831.125,1143.0,
1533207831.230,,9.7536
1533207831.499,,9.42848
1533207831.567,1143.0,
1533207831.948,,9.42848
1533207832.002,1143.0,
1533207832.005,,10.72896
1533207832.135,1150.6200000000001,
1533207832.391,,10.72896
1533207832.569,1150.6200000000001,
1533207832.632,1158.24,
1533207832.789,,10.72896
1533207832.866,,10.72896
1533207833.129,1158.24,
1533207833.135,1158.24,
1533207833.473,,10.72896
1533207833.557,,10.72896
1533207833.642,1165.8600000000001,
1533207833.954,,10.40384
1533207834.179,1173.48,
1533207834.376,,10.40384
1533207834.429,,10.40384
1533207834.657,1173.48,
1533207834.693,1173.48,
1533207835.010,,9.7536
1533207835.287,1181.1000000000001,
1533207835.380,,9.7536
1533207835.380,1173.48,
1533207835.770,1188.72,
1533207835.871,,9.42848
1533207836.222,1188.72,
1533207836.258,,9.42848
1533207836.799,,8.77824
1533207837.010,1196.3400000000001,
1533207837.248,,8.77824
1533207837.358,1196.3400000000001,
1533207837.738,1203.96,
1533207837.804,,8.128
1533207838.214,,8.77824
1533207838.308,1203.96,
1533207838.379,,8.128
1533207838.823,,7.477760000000001
1533207838.831,1211.5800000000002,
1533207838.933,1203.96,
1533207839.105,,8.128
1533207839.285,,7.477760000000001
1533207839.460,1211.5800000000002,
1533207839.882,,7.477760000000001
1533207839.889,,6.827520000000001
1533207839.961,1219.2,
1533207840.005,1219.2,
1533207840.168,,6.827520000000001
1533207840.354,1219.2,
1533207840.592,,6.827520000000001
1533207840.855,,7.152640000000001
1533207840.950,1226.8200000000002,
1533207841.310,,7.152640000000001
1533207841.482,1226.8200000000002,
1533207841.826,,7.80288
1533207841.949,1234.44,
1533207842.240,,7.80288
1533207842.531,1234.44,
1533207842.720,1234.44,
1533207842.859,,8.128
1533207842.955,1234.44,
1533207843.043,1242.0600000000002,
1533207843.198,,7.80288
1533207843.286,,8.128
1533207843.469,1242.0600000000002,
1533207843.831,,8.77824
1533207844.025,1249.68,
1533207844.106,1242.0600000000002,
1533207844.262,,8.77824
1533207844.657,,9.42848
1533207844.667,1257.3,
1533207845.104,1257.3,
1533207845.127,1257.3,
1533207845.157,,9.42848
1533207845.178,,9.42848
1533207845.633,,9.7536
1533207845.657,1264.92,
1533207845.896,,9.42848
1533207845.896,1257.3,
1533207846.012,,9.7536
1533207846.138,1272.54,
1533207846.171,1264.92,
1533207846.554,,9.42848
1533207846.714,,9.7536
1533207846.776,1272.54,
1533207846.895,1272.54,
1533207847.112,,9.42848
1533207847.146,1280.16,
1533207847.562,1280.16,
1533207847.631,1280.16,
1533207847.701,,8.77824
1533207848.064,1287.78,
1533207848.175,,8.77824
1533207848.332,1280.16,
1533207848.506,1287.78,
1533207848.507,,8.77824
1533207848.686,,9.10336
1533207848.916,1287.78,
1533207848.948,1295.4,
1533207849.129,,9.10336
1533207849.529,1295.4,
1533207849.713,1295.4,
1533207849.720,,8.77824
1533207849.954,,9.10336
1533207850.093,1303.02,
1533207850.199,,8.77824
1533207850.251,,8.77824
1533207850.640,1310.64,
1533207850.655,,9.10336
1533207850.684,1303.02,
1533207851.160,,9.10336
1533207851.163,1310.64,
1533207851.674,,9.42848
1533207851.761,1318.26,
1533207851.875,,9.10336
1533207851.925,1310.64,
1533207852.107,,9.42848
1533207852.325,1325.88,
1533207852.549,,9.42848
1533207852.642,,9.7536
1533207852.751,1325.88,
1533207852.784,1325.88,
1533207853.036,,9.7536
1533207853.197,1333.5,
1533207853.247,,9.7536
1533207853.424,1325.88,
1533207853.566,,9.7536
1533207853.691,1333.5,
1533207853.894,,9.7536
1533207854.038,,9.7536
1533207854.203,1333.5,
1533207854.266,1341.1200000000001,
1533207854.524,,9.42848
1533207854.627,1348.74,
1533207855.081,1348.74,
1533207855.088,,9.42848
1533207855.206,,9.42848
1533207855.497,,9.42848
1533207855.542,1356.3600000000001,
1533207855.547,1348.74,
1533207855.602,,9.10336
1533207856.102,1356.3600000000001,
1533207856.140,,9.10336
1533207856.290,1356.3600000000001,
1533207856.614,,8.77824
1533207856.681,1363.98,
1533207857.123,,8.77824
1533207857.127,1363.98,
1533207857.344,,8.77824
1533207857.558,1371.6000000000001,
1533207857.587,,8.77824
1533207858.050,,8.77824
1533207858.150,1379.22,
1533207858.203,,8.77824
1533207858.569,1379.22,
1533207858.709,,8.77824
1533207859.074,1386.8400000000001,
1533207859.136,,8.77824
1533207859.178,1379.22,
1533207859.316,,8.77824
1533207859.521,1386.8400000000001,
1533207859.557,,8.77824
1533207859.685,,9.10336
1533207859.927,1394.46,
1533207860.048,,9.10336
1533207860.203,,9.10336
1533207860.378,1394.46,
1533207860.611,,9.42848
1533207860.939,1402.0800000000002,
1533207861.094,,9.42848
1533207861.329,1402.0800000000002,
1533207861.660,,9.42848
1533207861.930,1409.7,
1533207862.249,,9.42848
1533207862.441,1417.3200000000002,
1533207862.778,,9.42848
1533207862.935,1417.3200000000002,
1533207863.047,1417.3200000000002,
1533207863.409,,9.7536
1533207863.410,1417.3200000000002,
1533207863.618,1424.94,
1533207863.797,,9.7536
1533207864.063,1432.5600000000002,
1533207864.202,1424.94,
1533207864.216,1417.3200000000002,
1533207864.227,,9.7536
1533207864.324,,9.7536
1533207864.615,1432.5600000000002,
1533207864.876,,9.7536
1533207865.087,1440.18,
1533207865.351,,9.7536
1533207865.415,,9.7536
1533207865.588,1447.8000000000002,
1533207865.924,,9.7536
1533207866.084,1447.8000000000002,
1533207866.346,,9.7536
