maktimestamp,altitude,velocity
1533207672.198,297.18,
1533207672.198,,12.029440000000001
1533207672.630,,12.029440000000001
1533207672.639,304.8,
1533207673.014,,9.42848
1533207673.163,304.8,
1533207673.553,,9.42848
1533207673.806,312.42,
1533207673.897,,6.827520000000001
1533207674.209,312.42,
1533207674.353,,6.827520000000001
1533207674.840,,5.52704
1533207675.314,320.04,
1533207675.685,,4.8768
1533207675.818,320.04,
1533207676.341,,4.8768
1533207676.844,,5.8521600000000005
1533207676.904,327.66,
1533207677.365,,5.8521600000000005
1533207677.428,327.66,
1533207677.838,,6.827520000000001
1533207677.912,335.28000000000003,
1533207678.249,,6.827520000000001
1533207678.445,335.28000000000003,
1533207678.817,,7.152640000000001
1533207679.104,342.90000000000003,
1533207679.312,,7.152640000000001
1533207679.458,342.90000000000003,
1533207679.744,,7.477760000000001
1533207679.964,350.52000000000004,
1533207680.192,,7.477760000000001
1533207680.454,350.52000000000004,
1533207680.844,350.52000000000004,
1533207680.890,,7.477760000000001
1533207681.138,,7.80288
1533207681.399,358.14000000000004,
1533207681.578,,7.80288
1533207681.983,365.76,
1533207682.023,,9.42848
1533207682.420,365.76,
1533207682.568,,9.42848
1533207682.846,373.38,
1533207683.066,,9.10336
1533207683.443,373.38,
1533207683.492,,9.10336
1533207683.992,,9.10336
1533207684.016,381.0,
1533207684.394,,9.10336
1533207684.567,388.62,
1533207684.922,,8.77824
1533207684.967,388.62,
1533207685.339,,8.77824
1533207685.425,396.24,
1533207685.759,,7.477760000000001
1533207686.114,396.24,
1533207686.199,,7.477760000000001
1533207686.639,,7.477760000000001
1533207687.206,,8.128
1533207687.206,403.86,
1533207687.623,,8.128
1533207687.718,411.48,
1533207688.128,,8.128
1533207688.265,411.48,
1533207688.711,,8.128
1533207688.755,419.1,
1533207689.156,,8.128
1533207689.249,426.72,
1533207689.479,,8.128
1533207689.733,426.72,
1533207689.930,,6.502400000000001
1533207690.321,426.72,
1533207690.502,,6.502400000000001
1533207690.746,426.72,
1533207690.960,,5.52704
1533207691.400,,5.52704
1533207691.761,434.34000000000003,
1533207691.956,,6.1772800000000005
1533207692.352,441.96000000000004,
1533207692.450,,6.1772800000000005
1533207692.930,441.96000000000004,
1533207693.028,,5.8521600000000005
1533207693.503,,5.8521600000000005
1533207693.552,441.96000000000004,
1533207693.934,449.58000000000004,
1533207693.995,,5.20192
1533207694.382,449.58000000000004,
1533207694.538,,5.20192
1533207694.766,449.58000000000004,
1533207695.112,,5.8521600000000005
1533207695.277,457.20000000000005,
1533207695.830,457.20000000000005,
1533207696.171,,6.1772800000000005
1533207696.458,464.82000000000005,
1533207696.708,,7.80288
1533207697.298,,7.80288
1533207697.441,472.44,
1533207697.869,,9.42848
1533207697.939,472.44,
1533207698.346,,9.42848
1533207698.387,480.06,
1533207698.785,487.68,
1533207698.835,,9.7536
1533207699.270,487.68,
1533207699.350,,9.7536
1533207699.875,495.3,
1533207700.368,,7.80288
1533207700.397,495.3,
1533207700.955,495.3,
1533207700.996,,4.8768
1533207701.424,,4.8768
1533207701.460,495.3,
1533207701.772,,3.2512000000000003
1533207701.935,502.92,
1533207702.359,,3.2512000000000003
1533207702.459,502.92,
1533207702.832,,2.27584
1533207702.962,502.92,
1533207703.281,,2.27584
1533207703.405,502.92,
1533207703.833,502.92,
1533207703.872,,2.9260800000000002
1533207704.359,,2.9260800000000002
1533207704.417,502.92,
1533207704.896,510.54,
1533207704.915,,3.2512000000000003
1533207705.421,510.54,
1533207705.482,,3.2512000000000003
1533207705.874,510.54,
1533207706.038,,4.22656
1533207706.372,510.54,
1533207706.462,,4.22656
